chapter_number,set_letter,chapter_title,question_number,question_malay,question_english,option_a_malay,option_a_english,option_b_malay,option_b_english,option_c_malay,option_c_english,option_d_malay,option_d_english,correct_answer,explanation
7,A,Bab 7: Tenaga dan Kuasa (Energy and Power) - Kuiz Set A,11,"Berdasarkan hukum fizik KSSM, **Tenaga Keupayaan Kenyal** juga boleh ditentukan secara grafik daripada luas di bawah graf bagi tindak balas spring tersebut. Apakah paksi-paksi yang terlibat dalam graf ini untuk menghasilkan bentuk segi tiga sudut tegak?","Based on KSSM physics laws, **Elastic Potential Energy** can also be graphically determined from the area under the graph of the spring's response. What axes are involved in this graph to produce a right-angled triangle shape?","Paksi menegak ialah Tenaga Keupayaan ($E_p$), paksi mengufuk ialah Masa ($t$).",,"Paksi menegak ialah Daya regangan ($F$), paksi mengufuk ialah Pemanjangan/Mampatan ($x$).",,"Paksi menegak ialah Pecutan ($g$), paksi mengufuk ialah Jisim spring ($m$).",,"Paksi menegak ialah Halaju ($v$), paksi mengufuk ialah Sesaran ($s$).",,,
7,A,Bab 7: Tenaga dan Kuasa (Energy and Power) - Kuiz Set A,12,"Sebuah kereta api komersial yang mempunyai jisim luar biasa sebanyak $400\,000\text{ kg}$ bergerak laju di atas landasan landai dengan halaju seragam $360\text{ km j}^{-1}$ ($100\text{ m s}^{-1}$). Hitungkan **Tenaga Kinetik** yang dimiliki oleh kereta api tersebut semasa pergerakan pantas itu.","A commercial train with an extraordinary mass of $400,000\text{ kg}$ travels fast on a level track with a uniform velocity of $360\text{ km j}^{-1}$ ($100\text{ m s}^{-1}$). Calculate the **Kinetic Energy** possessed by the train during this rapid motion.",$2.0 \times 10^9\text{ J}$,,$2.0 \times 10^8\text{ J}$,,$2.0 \times 10^7\text{ J}$,,$2.0 \times 10^6\text{ J}$,,,
7,A,Bab 7: Tenaga dan Kuasa (Energy and Power) - Kuiz Set A,13,Sebutir bebola keluli kecil berjisim $0.15\text{ kg}$ dilepaskan dari puncak sebuah satah condong licin. Bebola itu mengalir turun sehingga mencapai Tenaga Kinetik sebanyak $3.0\text{ J}$ di hujung bawah satah tersebut. Berapakah **halaju bebola keluli** itu di hujung bawah satah?,A small steel ball with a mass of $0.15\text{ kg}$ is released from the top of a smooth inclined plane. The ball rolls down until it achieves a Kinetic Energy of $3.0\text{ J}$ at the bottom. What is the **velocity of the steel ball** at the bottom of the plane?,$40\text{ m s}^{-1}$,,$20\text{ m s}^{-1}$,,$6.32\text{ m s}^{-1}$,,$1.41\text{ m s}^{-1}$,,,
7,A,Bab 7: Tenaga dan Kuasa (Energy and Power) - Kuiz Set A,14,"Di dalam makmal fizik, seorang murid sedang mengkaji pergerakan mikroskopik **elektron** yang mempunyai jisim yang sangat seni iaitu $9 \times 10^{-31}\text{ kg}$. Jika elektron tersebut memecut di dalam tiub vakum sehingga mencapai halaju $2 \times 10^6\text{ m s}^{-1}$, berapakah **Tenaga Kinetik elektron** tersebut?","In a physics lab, a student is studying the microscopic movement of an **electron** which has an extremely tiny mass of $9 \times 10^{-31}\text{ kg}$. If the electron accelerates in a vacuum tube until it reaches a velocity of $2 \times 10^6\text{ m s}^{-1}$, what is the **Kinetic Energy of the electron**?",$1.8 \times 10^{-18}\text{ J}$,,$3.6 \times 10^{-18}\text{ J}$,,$1.8 \times 10^{-24}\text{ J}$,,$3.6 \times 10^{-24}\text{ J}$,,,
7,A,Bab 7: Tenaga dan Kuasa (Energy and Power) - Kuiz Set A,15,"Pernyataan berikut merupakan takrifan bagi satu prinsip fizikal yang sangat penting: > *""Tenaga tidak boleh dicipta atau dimusnahkan, tetapi hanya boleh berubah-ubah bentuknya.""* > *""Energy cannot be created or destroyed, but can only change its forms.""* Apakah nama prinsip fizikal ini?",The following statement is the definition of a very important physical principle: What is the name of this physical principle?,Prinsip Keabadian Momentum (Principle of Conservation of Momentum),,Prinsip Keabadian Tenaga (Principle of Conservation of Energy),,Hukum Gerakan Newton Pertama (Newton's First Law of Motion),,Hukum Termodinamik Sifar (Zeroth Law of Thermodynamics),,,
7,A,Bab 7: Tenaga dan Kuasa (Energy and Power) - Kuiz Set A,16,"Rajah di bawah menunjukkan seutas **bandul ringkas** (*simple pendulum*) yang sedang berayun secara bebas di dalam sebuah **sistem tertutup** (*closed system*). *   Kedudukan $X$ dan $Z$: Amplitud tertinggi ayunan (kedudukan pegun seketika sebelum songsang arah). *   Kedudukan $Y$: Kedudukan keseimbangan paling rendah (pusat trajektori). Antara pernyataan berikut, yang manakah menerangkan perubahan tenaga di **kedudukan $Y$** dengan betul?",The diagram below shows a **simple pendulum** oscillating freely in a **closed system**. Which of the following statements correctly explains the energy changes at **position $Y$**?,"Tenaga Keupayaan Graviti adalah maksimum, manakala Tenaga Kinetik adalah sifar.",,"Tenaga Keupayaan Graviti adalah minimum, manakala Tenaga Kinetik adalah maksimum.",,"Tenaga Keupayaan Kenyal adalah maksimum, manakala Tenaga Kinetik adalah minimum.",,Kedua-dua Tenaga Keupayaan Graviti dan Tenaga Kinetik adalah sifar.,,,
7,A,Bab 7: Tenaga dan Kuasa (Energy and Power) - Kuiz Set A,17,"Rajah di bawah menunjukkan ayunan **spring berbeban** (*oscillating loaded spring*) menegak antara kedudukan mampatan maksima ($X$), kedudukan keseimbangan ($Y$), dan kedudukan regangan maksima ($Z$) di dalam sistem tertutup. Antara pernyataan berikut, yang manakah menerangkan keadaan bentuk tenaga di **kedudukan $X$** dengan betul?","The diagram below shows the oscillation of a vertical **loaded spring** between maximum compression ($X$), equilibrium ($Y$), and maximum extension ($Z$) in a closed system. Which of the following statements correctly describes the forms of energy at **position $X$**?","Tenaga Keupayaan Kenyal adalah minimum, manakala Tenaga Kinetik adalah maksimum.",,"Tenaga Keupayaan Kenyal adalah maksimum, manakala Tenaga Kinetik adalah sifar.",,"Tenaga Kinetik adalah maksimum, manakala Tenaga Keupayaan Graviti adalah maksimum.",,Semua bentuk tenaga tersimpan dalam bentuk Tenaga Kimia yang beredar.,,,
7,A,Bab 7: Tenaga dan Kuasa (Energy and Power) - Kuiz Set A,18,Rajah 7.13 di dalam buku teks Sains Tingkatan 3 menunjukkan **Graf Perubahan Tenaga** melawan Sesaran bagi sistem ayunan bandul ringkas tertutup. Apakah interpretasi fizikal yang **paling tepat** daripada graf tersebut?,Figure 7.13 in the Science Form 3 textbook shows the **Graph of Energy Change** against Displacement for a closed simple pendulum system. What is the **most accurate** physical interpretation of this graph?,Lengkung parabola Tenaga Keupayaan dan lengkung parabola terbalik Tenaga Kinetik sentiasa menghasilkan jumlah tenaga yang berubah-ubah mengikut persekitaran.,,Nilai Tenaga Kinetik sentiasa bernilai negatif di semua sesaran manakala Tenaga Keupayaan bernilai positif.,,"Hasil tambah Tenaga Keupayaan Graviti dan Tenaga Kinetik di sebarang kedudukan sesaran adalah malar, menghasilkan garis lurus mengufuk bagi jumlah tenaga keseluruhan.",,Tenaga Keupayaan Graviti sentiasa berkadar terus dengan punca kuasa dua sesaran amplitud dari kedudukan pusat.,,,
7,A,Bab 7: Tenaga dan Kuasa (Energy and Power) - Kuiz Set A,19,"Di dalam dunia nyata, sebuah ayunan bandul ringkas yang berayun di dalam bilik darjah (sistem terbuka) akhirnya akan **semakin perlahan dan berhenti sepenuhnya**. Apakah penjelasan saintifik yang menerangkan fenomena ini?","In the real world, a simple pendulum oscillating in a classroom (open system) eventually **slows down and stops completely**. What is the scientific explanation for this phenomenon?",Prinsip Keabadian Tenaga gagal berfungsi di dalam sistem terbuka kerana graviti bertindak memusnahkan sebahagian kecil tenaga pada setiap ayunan.,,Tenaga kinetik bandul dipindahkan keluar dan lesap ke persekitaran sebagai tenaga haba dan bunyi akibat daripada geseran udara dan geseran mekanikal tali.,,Bebola besi bandul secara semulajadi menyerap cas negatif dari persekitaran yang menghalang koordinasi kelajuannya.,,Tenaga keupayaan graviti bandul dipindahkan secara osmosis ke dinding bilik darjah.,,,
7,A,Bab 7: Tenaga dan Kuasa (Energy and Power) - Kuiz Set A,20,"Rajah 7.14 menunjukkan sebuah **pistol mainan** (*toy spring-pistol*). *   Panjang spring asal, $l_0 = 300\text{ mm}$ *   Spring dimampatkan sehingga panjang baharu menjadi $50\text{ mm}$ oleh satu daya maksima $5\text{ N}$. *   Sebutir bebola plastik berjisim $50\text{ g}$ ($0.05\text{ kg}$) diletakkan di hadapan spring termampat itu. Dengan membuat anggapan **tiada kehilangan tenaga** ke persekitaran, hitungkan **kelajuan maksimum bebola plastik** tersebut sebaik sahaja pistol itu ditembak menegak ke luar.","Figure 7.14 shows a **toy spring-pistol**. Assuming **no energy loss** to the surroundings, calculate the **maximum velocity of the plastic ball** as soon as it is shot vertically outwards.",$25\text{ m s}^{-1}$,,$12.5\text{ m s}^{-1}$,,$5\text{ m s}^{-1}$,,$1.58\text{ m s}^{-1}$,,,
7,A,Bab 7: Tenaga dan Kuasa (Energy and Power) - Kuiz Set A,21,"Sebutir sfera logam pepejal berjisim $2.0\text{ kg}$ dilepaskan secara **jatuh bebas** (*free fall*) dari tebing tinggi berketinggian $2.5\text{ m}$ dari permukaan tanah. Dengan mengabaikan rintangan udara, hitungkan **Tenaga Kinetik maksimum** sfera keluli tersebut sejurus sebelum ia menghentam tanah. ($g = 10\text{ m s}^{-2}$)","A solid metal sphere of mass $2.0\text{ kg}$ is released in **free fall** from a cliff of height $2.5\text{ m}$ from the ground. Ignoring air resistance, calculate the **maximum Kinetic Energy** of the sphere just before hitting the ground.",$5\text{ J}$,,$50\text{ J}$,,$250\text{ J}$,,$500\text{ J}$,,,
7,A,Bab 7: Tenaga dan Kuasa (Energy and Power) - Kuiz Set A,22,"Aktiviti menaiki tangga hospital sering kali digalakkan oleh doktor pakar berbanding menggunakan lif elektrik. Berdasarkan **Galeri Sains Bab 7**, manakah antara berikut merupakan **manfaat fisiologi** yang diperoleh daripada aktiviti memanjat tangga ini terhadap tubuh badan manusia?","Climbing hospital stairs is often encouraged by specialist doctors rather than using an electric elevator. Based on the **Science Gallery of Chapter 7**, which of the following is a **physiological benefit** derived from climbing stairs for the human body?",Mengurangkan kadar ketumpatan tulang bagi mengelakkan arthritis.,,Meningkatkan luas permukaan paru-paru secara kekal untuk memudahkan proses resapan nitrogen.,,"Mengurangkan risiko serangan penyakit jantung, kencing manis (diabetes), dan kanser kolon, serta meningkatkan ketumpatan tulang bagi memerangi osteoporosis.",,Menggalakkan pembentukan asid laktik dalam otot untuk meningkatkan kadar keimunan badan secara drastik.,,,
7,A,Bab 7: Tenaga dan Kuasa (Energy and Power) - Kuiz Set A,23,"Seorang atlet angkat berat berjisim $80\text{ kg}$ mengangkat sepasang barbel seberat $1,\!200\text{ N}$ secara menegak ke atas kepalanya sejauh $2.1\text{ m}$ dari lantai. Berapakah **kerja yang dilakukan oleh atlet itu terhadap barbel** tersebut?","A weightlifter weighing $80\text{ kg}$ lifts a barbell weighing $1,200\text{ N}$ vertically above his head for $2.1\text{ m}$ from the floor. How much **work is done by the weightlifter on the barbell**?","$1,\!680\text{ J}$",,"$2,\!520\text{ J}$",,"$4,\!200\text{ J}$",,"$2,\!880\text{ J}$",,,
7,A,Bab 7: Tenaga dan Kuasa (Energy and Power) - Kuiz Set A,24,Seorang pemanah wanita menarik tali busur dengan daya maksimum $200\text{ N}$ sejauh $0.4\text{ m}$ ke belakang sebelum melepaskan anak panah tersebut. Hitungkan **Tenaga Keupayaan Kenyal** yang disimpan oleh tali busur yang teregang itu.,A female archer pulls a bowstring with a maximum force of $200\text{ N}$ for $0.4\text{ m}$ backwards before releasing the arrow. Calculate the **Elastic Potential Energy** stored by the stretched bowstring.,$80\text{ J}$,,$40\text{ J}$,,$160\text{ J}$,,$400\text{ J}$,,,
7,A,Bab 7: Tenaga dan Kuasa (Energy and Power) - Kuiz Set A,25,Mengapakah bukan keseluruhan kerja yang dilakukan oleh seorang pemanah untuk menarik tali busur berubah menjadi tenaga kinetik anak panah yang sempurna dalam kehidupan harian?,Why is it that not all of the work done by an archer to pull a bowstring is converted into the kinetic energy of the arrow in daily life?,Kerana sebahagian kerja lesap sebagai tenaga haba dan bunyi disebabkan rintangan udara dan ketidaksempurnaan regangan busur yang memindahkan haba ke persekitaran.,,Kerana anak panah menyerap tenaga keupayaan graviti secara aktif sepanjang trajektori penerbangan mendatar.,,Kerana daya tarikan graviti memusnahkan zarah-zarah kinetik semasa ditarik ke belakang.,,Tali busur bertindak sebagai konduktor cas elektrik yang menebalkan ion positif di udara sekeliling.,,,
10,A,Bab 10: Penerokaan Angkasa Lepas (Space Exploration) - Kuiz Set A,1,"Antara pernyataan berikut, yang manakah menerangkan ciri utama bagi model Sistem Suria yang dibina oleh ahli astronomi Yunani, Claudius Ptolemy?","*Fokus Silibus**: *Model Sistem Suria Ptolemy Which of the following statements explains the main feature of the Solar System model built by the Greek astronomer, Claudius Ptolemy?",Matahari berada pada pusat Sistem Suria dan Bumi beredar mengelilinginya dalam orbit elips. (The Sun is at the center of the Solar System and the Earth orbits it in an elliptical orbit.),,Bumi berada pada pusat Sistem Suria manakala Matahari dan planet lain beredar mengelilinginya dalam orbit membulat. (The Earth is at the center of the Solar System while the Sun and other planets orbit it in circular orbits.),,Matahari berada pada pusat Sistem Suria manakala Bumi dan planet lain beredar mengelilinginya dalam orbit membulat. (The Sun is at the center of the Solar System while the Earth and other planets orbit it in circular orbits.),,Bumi berada pada salah satu titik fokus sepunya bagi orbit elips semua planet yang beredar mengelilinginya. (The Earth is at one of the common focal points of the elliptical orbits of all planets orbiting around it.),,,"*Jawapan Betul**: **B**

**Huraian Saintifik (Malay)**:
Claudius Ptolemy memperkenalkan Model Geosentrik ('Geo' bermaksud Bumi, 'Sentrik' bermaksud Berpusat). Dalam model ini, Bumi berada pada pusat Sistem Suria, dan semua jasad samawi termasuk Matahari dan planet-planet lain beredar mengelilingi Bumi dalam orbit berbentuk bulatan sempurna (circular orbit).

---"
10,A,Bab 10: Penerokaan Angkasa Lepas (Space Exploration) - Kuiz Set A,2,Bagaimanakah Nicolaus Copernicus mengubah kefahaman astronomi tentang struktur Sistem Suria pada abad ke-16?,*Fokus Silibus**: *Sumbangan Nicolaus Copernicus How did Nicolaus Copernicus change astronomical understanding of the Solar System's structure in the 16th century?,Beliau membuktikan bahawa Bumi berbentuk sfera dengan bayang-bayang semasa gerhana bulan. (He proved that the Earth is spherical using shadows during lunar eclipses.),,Beliau mencadangkan model heliosentrik dengan Matahari di pusat dan planet beredar dalam orbit elips. (He proposed a heliocentric model with the Sun at the center and planets orbiting in elliptical orbits.),,Beliau mengasaskan model heliosentrik di mana Matahari berada di pusat dan Bumi serta planet lain beredar dalam orbit membulat. (He founded the heliocentric model where the Sun is at the center and the Earth and other planets orbit in circular orbits.),,Beliau menemui kawah di Bulan menggunakan teleskop pertama yang dibina secara manual. (He discovered craters on the Moon using a manually built first telescope.),,,"*Jawapan Betul**: **C**

**Huraian Saintifik (Malay)**:
Nicolaus Copernicus mencadangkan Model Heliosentrik ('Helio' bermaksud Matahari). Dalam model ini, beliau menafikan model Ptolemy dengan meletakkan Matahari sebagai pusat Sistem Suria yang pegun, manakala Bumi serta planet-planet lain beredar mengelilinginya dalam lintasan berbentuk membulat (circular orbit).

---"
10,A,Bab 10: Penerokaan Angkasa Lepas (Space Exploration) - Kuiz Set A,3,Johannes Kepler telah mengemaskini model heliosentrik Copernicus. Apakah pengubahsuaian revolusioner yang diperkenalkan oleh beliau?,*Fokus Silibus**: *Hukum Kepler & Pengemaskinian Model Johannes Kepler updated Copernicus's heliocentric model. What revolutionary modification did he introduce?,Menggantikan orbit membulat planet dengan orbit berbentuk elips mengikut Hukum Kepler. (Replacing the circular orbits of planets with elliptical orbits according to Kepler's Law.),,Meletakkan Bumi kembali ke pusat Sistem Suria dengan bulan beredar dalam orbit elips. (Placing the Earth back at the center of the Solar System with the moon orbiting in elliptical orbits.),,Menghapuskan konsep tarikan graviti antara Matahari dengan planet. (Eliminating the concept of gravitational attraction between the Sun and planets.),,Mengisytiharkan bahawa Matahari berputar pada paksinya manakala planet-planet lain adalah pegun. (Declaring that the Sun rotates on its axis while other planets are stationary.),,,"*Jawapan Betul**: **A**

**Huraian Saintifik (Malay)**:
Johannes Kepler mengemukakan Hukum Kepler yang menyatakan bahawa semua planet beredar mengelilingi Matahari dalam orbit berbentuk elips (elliptical orbit), bukannya bulatan sempurna seperti yang dicadangkan oleh Copernicus. Matahari berada pada salah satu daripada dua titik fokus sepunya (foci) orbit elips tersebut.

---"
10,A,Bab 10: Penerokaan Angkasa Lepas (Space Exploration) - Kuiz Set A,4,"Antara berikut, yang manakah merupakan persamaan tunggal bagi Model Sistem Suria yang dikemukakan oleh Nicolaus Copernicus dan Johannes Kepler?",*Fokus Silibus**: *Sains Komparatif Model Sistem Suria Which of the following is the single similarity of the Solar System Models proposed by Nicolaus Copernicus and Johannes Kepler?,Kedua-dua model mengandaikan orbit planet adalah bulat sempurna. (Both models assumed the planetary orbits were perfectly circular.),,Kedua-dua model dikelaskan sebagai model heliosentrik dengan Matahari berada di pusat Sistem Suria. (Both models are classified as heliocentric models with the Sun at the center of the Solar System.),,Kedua-dua model meletakkan Bumi sebagai pusat putaran bagi bintang latar belakang. (Both models place the Earth as the center of rotation for background stars.),,Kedua-dua model diasaskan menggunakan data penderiaan jauh teleskop angkasa lepas. (Both models were founded using space telescope remote sensing data.),,,"*Jawapan Betul**: **B**

**Huraian Saintifik (Malay)**:
Kedua-dua model Copernicus dan Kepler adalah model heliosentrik (berpusatkan Matahari). Perbezaan utama mereka hanyalah bentuk orbitnya: Copernicus mencadangkan orbit membulat (circular orbit), manakala Kepler mengemas kini model tersebut dengan membuktikan orbit berbentuk elips (elliptical orbit).

---"
10,A,Bab 10: Penerokaan Angkasa Lepas (Space Exploration) - Kuiz Set A,5,Sejarah permulaan perkembangan teknologi roket bermula seawal abad ke-11. Negara manakah yang mula mencipta serbuk bedil dan menggunakan roket primitif ini dalam pertempuran?,*Fokus Silibus**: *Sejarah Awal: Roket Serbuk Bedil The early history of rocket technology development began as early as the 11th century. Which country first invented gunpowder and used these primitive rockets in battles?,Arab (Arabia),,Yunani (Greece),,China (China),,Rusia (Russia),,,"*Jawapan Betul**: **C**

**Huraian Saintifik (Malay)**:
Teknologi roket bermula di China pada abad ke-11 apabila orang China mencipta serbuk bedil (gunpowder) dan menggunakan roket primitif berbahan api pepejal ini untuk tujuan ketenteraan/pertempuran serta pertunjukan bunga api.

---"
10,A,Bab 10: Penerokaan Angkasa Lepas (Space Exploration) - Kuiz Set A,6,Mengapakah pelancaran satelit Sputnik 1 oleh Kesatuan Soviet (Rusia) pada 4 Oktober 1957 dianggap sebagai peristiwa paling bersejarah dalam penerokaan angkasa lepas?,"*Fokus Silibus**: *Milestone: Sputnik 1 (1957) Why is the launch of the Sputnik 1 satellite by the Soviet Union (Russia) on October 4, 1957 considered the most historical event in space exploration?",Ia membawa angkasawan manusia pertama merentasi ruang angkasa lepas. (It carried the first human astronaut across outer space.),,Ia merupakan satelit buatan manusia yang pertama berjaya dihantar mengorbit Bumi. (It was the first human-made artificial satellite successfully sent to orbit Earth.),,Ia mendarat di permukaan Bulan dan mengambil gambar mineral lunar. (It landed on the Moon's surface and took photos of lunar minerals.),,Ia merupakan kuar angkasa pertama yang dihantar keluar dari Sistem Suria. (It was the first space probe sent out of the Solar System.),,,"*Jawapan Betul**: **B**

**Huraian Saintifik (Malay)**:
Sputnik 1 ialah satelit buatan manusia yang pertama diluncurkan ke angkasa lepas oleh Kesatuan Soviet (USSR) pada tahun 1957. Peristiwa ini menandakan permulaan rasmi bagi 'Zaman Angkasa Lepas' (Space Age) dan perlumbaan angkasa lepas antara kuasa-kuasa besar dunia.

---"
